speaker,content
隊員B,攻機、初めて見たよ。
隊員C,実在していたんだな。
草薙,現状の距離を保ち、迎撃ポイント迄監視を継続する。
バトー,ジガバチだ。陸自の奴等高みの見物のつもりかよ。
草薙,剣菱重工への牽制と保険よ。
バトー,それにしてもこいつの目的は何だ？目的地も分からんし、大体本当に人が乗ってんのかよ？勝負にならんのは分かるが、こんだけ完璧に無視されると頭にくるぜ。
草薙,じゃあ鼻先に回り込んでみる？
バトー,冗談だよ。親父とトグサからの情報を待つぜ。
パズ,少佐。該当しそうな組織23の内20を洗ったが、やはり本件に絡んだ声明等は出されていない。
草薙,よし。残り3を洗ってそれでも何も出ない場合は、他のルートを使って検索をかけろ。
バトー,愉快犯、戦車泥棒、もしくはAIの故障って線で手を打たねえか？
草薙,愉快犯も戦車泥も、広義においてはテロだ。AIの故障の線は捨てきれないけど、それは課長達の報告を待って結論を出す。
バトー,へいへい・・・
荒巻,先頃亡くなった開発担当者の加護タケシの同僚で、同じく開発を担当していた大場と言う技師がいる。暴走した戦車を直前迄整備していたそうだ。お前達は彼を事情聴取しろ。儂は剣菱の上層部と掛け合う。
トグサ＆イシカワ,はい。
トグサ,開発担当の大場トシオさんですね？
大場,あ・・・はい。
荒巻,被害を最小限に抑える事をお望みでしたら、新型戦車に関する全ての情報を速やかに我々に提示して頂きたい。
荒巻,これで全て・・・ですかな？
開発部長,ええ・・・
荒巻,少佐。剣菱重工から提供されたデータを送る。
草薙,確認したわ。これなら何とか抜けるわね。
バトー,結局ごつい戦車の尻見て終わりか？もうすぐ迎撃ポイントだぜ。
草薙,サイトー、準備は？
サイトー,もう少しです。
ボーマ,こんなもんか？
サイトー,ああ。
サイトー,少佐、離れてください。
草薙,まだだ、気付かれない様にぎりぎり迄待つ。
サイトー,衛星とリンクした。
サイトー,少佐！
草薙,よし！
草薙,課長！？
サイトー,少佐。鷹の目のデータが盗まれている。奴は衛星とリンクしているようです。目視で、あとワンチャンス！
荒巻,残念ながら、全ての情報を教えては貰えなかったようですな。
草薙,そのまま撤収。合流しろ！
サイトー＆ボーマ,了解。
バトー,高速に乗るつもりだぞ。
草薙,急いで行きたい場所があるんでしょ。
バトー,ジガバチが離れていくぜ。
草薙,そろそろ報道管制が破られる頃だ。テロリストからの犯行声明も無く、剣菱もこの件を自社のミスと認めない限り、陸自は白を切り通すだろう。
バトー,俺達で止めるしかねえのか。猿親父に期待しようぜ。
草薙,そう悠長な事も言ってられないわよ。奴が分岐でどっちに行きたがるかで話は違ってくる。
荒巻,陸自の答えは聞かなくてもお分かりでしょう。後は剣菱が公安9課を信用して頂けるかですな。
開発部長,HAW-206は剣菱が6年の年月をかけて開発したんだぞ！？スペックを公開する事で受ける損害を、貴方達警察が保証するとでも言うのか！？
荒巻,それは購入先があっての事でしょう！このままでは剣菱のマークが入った宣伝カーが、最悪のデモンストレーションをして回る事になりますが、よろしいか！？
社長,何とかお宅の戦車だけで、あれを足止めする事は出来んかね・・・？
トグサ,さっきから何を気にしているんです？教えてくれないかな？あの戦車、君が作ったんだろ？何が原因で暴走を起こしたと思う？本当に心当たりは無いのかな？別に、この件で君を容疑者として取り調べている訳じゃないんだ。もっと協力してくれないかな・・・？それとも、何か話せない事情があるのかな？
草薙,バトー、奴がどっちに行きたいのか確認するぞ！
バトー,市街地に向かうんじゃねえの？
草薙,撃たれるなよ！
草薙,散れ！
タチコマ,あわわわ！
バトー,大丈夫か！？
タチコマ,ダイジョブデース。
草薙,お前はそこで救助を待て！
タチコマ,オー・・・
タチコマ,いいないいな、壊れたよ！
タチコマ,構造解析されちゃうかも！？
草薙,課長、奴は橋に進路を向けたわ。対戦車ミサイルが使えるラストチャンスかも。あいつにそれが有効かだけでも聞いて。しくじればSPring-8の4倍の税金をかけた橋を落とす事になるかもって。
荒巻,だ、そうです。いかがかな？開発部長。
草薙,対岸に渡ったら、すぐに市街地に入るわ。ますます打つ手がなくなるわよ？
開発部長,ミサイルは止めた方がいい。モードLで操作されていると思われるので、殆どの無線誘導弾にジャミングをかけられます。
荒巻,レーザー誘導でも？
開発部長,レーザー誘導の場合には欺瞞信号を出してミサイルを逸らします。オンライン誘導でも射程距離が300ｍ以上の場合なら90%以上の確率でハッキングをかけ、ミサイルを発射した本人に送り返す事も可能です。
荒巻,黙っていれば、いい宣伝材料になったでしょうな。
トグサ,課長、戦車に誰が乗っているかが分かりました。
社長,誰があれを動かしているんだ！？
トグサ,加護タケシです。
開発部長,加護タケシだって！？あいつは1週間前に死んだんだぞ！？
トグサ,ええ、聞きました。彼の話では、死んだ加護の脳を戦車のAIに繋いだそうです。
開発部長,何故そんな事をしたんだ！？
大場,それが・・・彼の遺言だったからです。
トグサ,少佐、聞いてます？戦車の目的地は加護タケシの実家です。これが所在地。
草薙,大分近いわね。
トグサ,ええ、やばいです。加護タケシの目的は両親への復讐ではないかと思われます。
トグサ,加護は、兵器の設計に天才的な才能を発揮し大学在籍中にスカウトされた人物ですが、生まれつき体が弱く、医師からも義体化しない限り二十歳の春は迎えられないと言われていた様です。しかし宗教的な理由から義体化はもちろん、電脳化すら許されず、殆ど戦車の開発への執念で28迄生きていた様な状態だったそうです。似た様な境遇に育ちながら義体化する事で生き長らえた大場は、加護の死ぬ間際の遺言、肉体が死んだら宗教から開放される、そうしたら脳を取り出し戦車に繋いでくれ、と言う約束を実行したんだそうです。
荒巻,儂だ、淡路署のイシヅカ君を呼び出してくれ。
草薙,それで、何故両親に復讐を？
トグサ,生前加護は病弱な体に自分を生んだ両親を恨み、事ある毎に、鋼鉄の体に生まれ変わりたい、と言っていたそうです。生から開放されれば両親の教えに背く事なく鋼鉄の肉体を手に入れられる。加護はその夢を大場に託したんです。
バトー,あーあ、強引な奴。
草薙,ここからだと目的地はすぐね。とにかく追うぞ。
バトー,特攻でもかけるか？
荒巻,とうとう市街地に入りましたな。現在あの戦車による死傷者は一人も出ていません。ですが、これから先はどうなるか予想が付きませんな。
社長,死傷者は・・・ゼロ・・・
開発部長,しゃ、社長！それは・・・！？
社長,儂は、剣菱自体を明日に残さねばならんのだ。
荒巻,ご協力に感謝致します。
草薙,ワイヤーで戦車の足を狙うぞ！
タチコマ,了解！
草薙,ワイヤーを切れ！
草薙,物理的攻撃では無理ね。
バトー,馬鹿な考えを起こすなよ！軍の防壁だ、脳を焼き切られるぞ！大体有線出来ねえだろうが！
草薙,やるだけやってみるわよ！
荒巻,有効射程迄後どの位だ？
9課オペレーター,約2分です。
バトー,少佐！
草薙,ぬぅ！
バトー,少佐、無理だ！やめろ・・・！お！？
イシカワ,止まれえ！
草薙,課長・・・！
バトー,猿が狸を説得したか・・・剣菱の対多脚戦車兵器か。あるならさっさとよこしやがれ。
草薙,うっ！
草薙,やっと止まったか。
バトー,すげえ粘着力だな。
草薙,課長。攻性防壁解除の暗証コードを。ハッチをパージして加護の脳を取り出すわ。
草薙（戦車の防壁が無ければ、只の無防備な脳だわ・・・）,NA
草薙,バトー、手を貸して！
バトー,おう！物理的なトラップか？
草薙,大丈夫だと思うけど、念の為用心して開けて。
加護の母,タケシ・・・タケシ・・・なのかい・・・？
草薙,馬鹿な！何故避難していない！？
バトー,タチコマ！
草薙,うっ！
加護の母,ああ・・・
荒巻,止めたか！？
開発部長,誠に、申し訳ございません・・・
トグサ,たった今、加護の脳を焼き切ったそうだ。
大場,加護・・・
バトー,糞っ垂れ、そこ迄自分の親が憎かったのか・・・！？
草薙,違う・・・加護の脳を焼いた時、一瞬だけど感じた。どうだい母さん、鋼鉄の身体になった俺の姿は？そんな自慢とも、復讐ともつかない奇妙な感覚・・・
バトー,止めとけ。それは只の錯覚だ。
草薙,ならいいんだけど。それを確かめる術は、2度と無くなったわ・・・
草薙,これ？例のアンドロイドを未だに生産し続けている工場って。意外と小さいわね。アンドロイドの一斉自殺なんて如何にもマスコミが飛び付きそうなねたね。
荒巻,10分やる。儂が責任者に事情聴取する間、お前は生産ラインの中身を洗え。
草薙,了解。タチコマ、分かってる？
タチコマ,無論です。こう見えてもプロですから。
荒巻,工場長を呼んでくれ。
阿部,倉庫に回しておけ。
荒巻,公安9課の荒巻です。今回一斉に暴走したお宅のアンドロイドの件について事情聴取に伺いました。
阿部,私、工場長の阿部と申します。今回はこの様な騒ぎを起こして本当に申し訳ありません。
荒巻,同一の機種だった様ですな。
阿部,ええ、GA07-JLK、ユーザーの間ではジェリと呼ばれていたタイプです。発売直後はそこそこ売れましたが、今は全国でも8000体が稼動しているのみです。正直もう内の目玉と言う訳ではないんですよ。生産もアフターケア用の部品製造のみですし。
荒巻,イシカワ。
イシカワ,聞いてますよ。今調べます。
阿部,今となってはデザインも古いし、動きも会話もぎこちないって言うんで部品製造の方もいつ迄続くのやら・・・
荒巻,ジェリと言う特定機種が狙われた点に何か心当たりは？
阿部,それが無い訳では無いんですが・・・実はジェリはユーザーが不適切な改造をしていた事の多かった機種なんです。まあ我が社の上層部はそれで売れてくれるんならって寧ろ喜んでましたがね。内の工場の若い連中なんかジェリが自分の運命を呪って自殺したんだって気味悪がってる始末で。
阿部,なんとか原因究明の方お願いします。
荒巻,ご心配なく。
荒巻,少佐、行くぞ。
荒巻,失礼します。
草薙,ウイルス性の暴走に間違いないわ。定期点検プログラムに紛れ込ませてネット接続してきたユーザーのジェリに片っ端からウイルスを潜入させている。恐らくは修理点検の為に工場に回収されてきたジェリの内どれかに時限性のウイルスが仕掛けられ工場のプログラムに混入した。念の為イシカワに中身分析させてるけど。
荒巻,一般ユーザーの犯行か。国会議事堂とは無関係だと思うか？
草薙,多分ね。それでも一応確認は必要なんでしょ？ジェリユーザーのリスト手に入れたわよ。
荒巻,優先順位の高いものから片っ端に当たれ。バトーとパズにもリストを。
草薙,もうとっくに送ったわよ。さっそく1件目に向かうわ。
荒巻,うむ。
草薙,タチコマは9課に戻って別命ある迄待機。残念だけど今回は出番無さそうね。
タチコマ,ねえ少佐・・・聞いた話では留守番をするとお土産を貰う権利が発生するんですよねえ？
草薙,土産話なら後でうんざりする位聞かせてあげるわよ。
タチコマ,土産話！？やったあ！やったあ！
草薙,土産迄要求する様になってきたか。
荒巻,イシカワか？
イシカワ,はい。ウイルスの解析終わりました。先だって国会議事堂で禁止されたウイルスとは似ても似つかない素人臭い出来のウイルスです。
荒巻,うむ。
イシカワ,一つ気になるのは保護コードらしき物が見つかりましたね。
荒巻,自分のジェリだけはウイルスに感染しない様に守っていた・・・つまり犯人は暴走していないジェリを連れている可能性が高いと言う事だな？
イシカワ,恐らくは。
荒巻,さっきの工場長の話はどうだ？
イシカワ,あの話は本当のようです。07JL系の新規の機体製造は3年前からもう行われていません。只、その後コアなファンによる製造中止反対のクレームが複数確認されています。
荒巻,今の情報、他の連中にも流してやれ。短時間にしては良くやった。
イシカワ,ふうー・・・
9課オペレーター,どうしました？
イシカワ,褒められちゃったよ。
マクラクラン,警察に気付かれたか・・・何度も場所を変えたのに・・・僕は君無しじゃ居られない。
ジェリ,居られるでしょ？
マクラクラン,でも居たくないんだ。僕と一緒に居てくれるね？
ジェリ,ええ。
マクラクラン,一緒にイタリアに行こう。
ジェリ,行って何するの？
マクラクラン,行ってから考えるさ。
マクラクラン,悲しみは無意味だ。悲しみと無とでは、僕は無を取る。
アナウンサー,アンドロイドが一斉に自殺すると言う何とも奇妙な事件が起こった訳ですが、今日は近代社会学者の宮代先生にお越し頂いております。先生、早速ですが今回の事件についてどの様にお考えですか？
宮代,まあ、無論アンドロイドは生命体ではありませんから、正確には自殺ではない訳ですねえ。自壊とでも呼びましょうか。
アナウンサー,ええ、しかし往年のSF漫画に登場した様にロボットがゴーストを持ち始めたのではないかと言う噂もありますが？
宮代,それは考えにくいですね。寧ろそういった心理をくすぐる為の愉快犯と考えるべきです。
アナウンサー,成る程。ここでロボット愛護団体による
バトー,くだらねえ。捜査に集中しろよ。
トグサ,昔は割合人気あったよな？ジェリって。性能はお世辞にも褒められたもんじゃなかったけど、可愛かったし。最近じゃ滅多に見かけなくなったけどなあ。
バトー,見かけないって事はそれだけ捜査が楽って事だ。しかも今回の事件で只でさえ少ない機体は更に少なくなってる。
トグサ,でも何でこの手の事件を内が担当するんだよ？所轄に任せればいいじゃん。
バトー,先月の国会議事堂でのロボット騒ぎ、あれもジェネシス・アンドロス社製だったの、もう忘れたのか？
トグサ,いや、それは覚えてるけどさあ・・・にしても、ほぼ確実に無関係なんだろ？殆ど存在しないであろう因果関係を洗うってのは・・・
バトー,俺らの仕事じゃないって言いたいか？万が一に備えるってのはこういう事だ。残りの9999回迄はすかって事さ。なにせ今回はウイルスの出所だって分かっていない。
トグサ,ふう・・・
バトー,乗り掛かった船なんだ。リストの上から虱潰しに当たるぞ。こんな仕事さっさと片付けようぜ。
トグサ,公務員って楽しいなあ。
トグサ,荒っぽいなあ相変わらず。俺に任せりゃ無傷で開けんのに・・・
バトー,お前じゃ時間掛かり過ぎるんだよ。
トグサ,ふん！
バトー,あーあ、すげえ映画マニア・・・！ん・・・？
バトー,何か見つけたか？
トグサ,ジェリに仕掛けたあったウイルス。当たりくじだ。
バトー,少佐。対象者を見つけた。勘のいい奴だな、一足遅かった。現在地と集めた情報を送る。後はイシカワの情報待ちだ。
ボーマ,ほら吐けよ。
構成員,一々愛玩アンドロイドが何処に行ったかなんて記録してねえんで・・・
パズ,よせ、外れだ。
ボーマ,またかよ？詰まんねえ。
イシカワ,犯人の身元を確認しました。カナダ大使の息子、マーシャル・マクラクラン26歳。身長は179cm、逮捕歴は無し。8年前に一度本国に帰国していましたが兵役を逃れる為に今は日本に舞い戻って来ています。
バトー,大使の息子！？手出し出来ないんじゃねえか？
荒巻,特権免除を放棄するよう本国と掛け合おう。
草薙,犯人の現在位置は？
イシカワ,環状6号を福岡方面に逃走中。
バトー,いい車乗ってやがんなあ。青二才のぼんぼんが。
イシカワ,IRシステムの写真で見る限りじゃ助手席にはジェリも乗ってる様だ。
草薙,ジェリね。間違いないわ。
荒巻,タイミングを見計らって高速を降りるよう誘導しろ。その上で袋小路に追い込め。具体的なアクションを起こすのはそれからだ。いいな？
一同,了解。
草薙,いいわねえ。ラストドライブは海沿いか・・・でもロボットを買って自分好みの彼女にしようなんて発想からして、マッチョ※1よね。気に入らないわ。
トグサ,マッチョ！？少佐が言うなよ。
バトー,ふうむ。女性代表、尊重すべき意見だな。
草薙,どうせ自分家に閉じ込めて料理洗濯させてるんでしょ？
トグサ,料理と言っても大した物は作れないんじゃないすか？そこ迄の機能をあの価格で実現出来たとは思えないんですけどね。
草薙,じゃあ何させてるのよ？
トグサ,う・・・俺に怒らないでくださいよ・・・
バトー,はっはっはっ。
トグサ,まあ、飾って朝晩眺めるとか・・・？
草薙,やっぱりマッチョじゃない。
トグサ,だから少佐が言うなって・・・にしても何でまたそんなポンコツの旧型ロボットにこだわってんだ？そいつは。
バトー,いつの時代にも金じゃ買えない旧式デバイスへの熱きノスタルジー※2を捨てきれない輩がいるって事さ。お前と気が合いそうじゃねえか。
トグサ,う・・・やめてくれよ。そういうあんただってこんな私物の旧車転がしてるじゃないか。
バトー,ふん。俺のはメカへのピュアな愛情！
ジェリ,何してるの？
マクラクラン,見つめている。
ジェリ,何故見つめているの？
マクラクラン,見つめているから。君の横顔は最高だよ。とても君らしい。
ジェリ,私より美人は多いじゃない？
マクラクラン,でもなんか変なんだ。上手く行かないし、惨めな気持ちになる。怖いかい？
ジェリ,怖いけど、慣れたわ。
マクラクラン,何か優しい事を言ってくれないか？
ジェリ,私にも分からない。貴方、魂の存在を信じる？
マクラクラン,優しさだけを信じるよ。
マクラクラン,糞！工事か・・・同じ結末なんかにしない！
バトー,予定通り高速を降りた様だ。そのまま誘導をお願いします、少佐殿。
草薙,任せなさい。
トグサ,GPSに介入して有りもしない渋滞を作り出す、と。
バトー,有能な隊長の下で働くってのは楽しいだろ？
トグサ,んんー！
バトー,誘導完了！少佐殿に感謝だな。後は猿親父からの連絡を待つのみか。
バトー,居た居た。
荒巻,バトー。
バトー,へいへい。
荒巻,特権免除の放棄に成功した。行け！
バトー,了解！
トグサ,仮にも大使の息子なんだ。無傷でいきましょう。
バトー,当たり前だ。なるべくなら穏便に話し合いで解決するさ。昔から銃撃や格闘よりも交渉の方が得意だしな。
トグサ,んー、そうでしょうねえ。
バトー,見てらんねえな。
トグサ,ジェリ連れてちゃそう速くも走れんだろ。
マクラクラン,あ！
マクラクラン,僕はカナダ大使ハーバード・マクラクランの息子、マーシャル・マクラクランだ。僕を逮捕する事は出来ないぞ！
バトー,特権免除ならさっき本国が放棄したぞ。
マクラクラン,えっ！？
マクラクラン,どうして・・・？糞！やっぱり無理なのか・・・
マクラクラン,来るな！
バトー,待て。
マクラクラン,僕達は一緒に居たいだけだ。邪魔するな！行くぞジェリ。
